ERR2784728_R1.fq.gz	ERR2784728_R1.fq.gz	0	0	1000000/1000000
ERR2784729_R1.fq.gz	ERR2784728_R1.fq.gz	0.023543	0	438782/1000000
ERR2784730_R1.fq.gz	ERR2784728_R1.fq.gz	0.0238539	0	434685/1000000
ERR2784731_R1.fq.gz	ERR2784728_R1.fq.gz	0.0241388	0	430974/1000000
ERR2784741_R1.fq.gz	ERR2784728_R1.fq.gz	0.0657438	0	143787/1000000
ERR2784742_R1.fq.gz	ERR2784728_R1.fq.gz	0.0670678	0	139295/1000000
ERR2784743_R1.fq.gz	ERR2784728_R1.fq.gz	0.0679351	0	136438/1000000
ERR2784752_R1.fq.gz	ERR2784728_R1.fq.gz	0.0727775	0	121641/1000000
ERR2784753_R1.fq.gz	ERR2784728_R1.fq.gz	0.0732208	0	120378/1000000
ERR2784754_R1.fq.gz	ERR2784728_R1.fq.gz	0.0740726	0	117992/1000000
ERR2784755_R1.fq.gz	ERR2784728_R1.fq.gz	0.0747173	0	116221/1000000
ERR2784756_R1.fq.gz	ERR2784728_R1.fq.gz	0.0691898	0	132420/1000000
ERR2784757_R1.fq.gz	ERR2784728_R1.fq.gz	0.069275	0	132152/1000000
ERR2784759_R1.fq.gz	ERR2784728_R1.fq.gz	0.0697036	0	130813/1000000
ERR2784760_R1.fq.gz	ERR2784728_R1.fq.gz	0.067223	0	138779/1000000
ERR2784761_R1.fq.gz	ERR2784728_R1.fq.gz	0.067267	0	138633/1000000
ERR2784762_R1.fq.gz	ERR2784728_R1.fq.gz	0.0677271	0	137117/1000000
ERR2784763_R1.fq.gz	ERR2784728_R1.fq.gz	0.0680178	0	136169/1000000
ERR2784780_R1.fq.gz	ERR2784728_R1.fq.gz	0.0884308	0	84677/1000000
ERR2784781_R1.fq.gz	ERR2784728_R1.fq.gz	0.0889027	0	83772/1000000
ERR2784782_R1.fq.gz	ERR2784728_R1.fq.gz	0.0900748	0	81569/1000000
ERR2784783_R1.fq.gz	ERR2784728_R1.fq.gz	0.090668	0	80478/1000000
ERR2784796_R1.fq.gz	ERR2784728_R1.fq.gz	0.0919885	0	78105/1000000
ERR2784797_R1.fq.gz	ERR2784728_R1.fq.gz	0.0925035	0	77200/1000000
ERR2784798_R1.fq.gz	ERR2784728_R1.fq.gz	0.0938846	0	74828/1000000
ERR2784799_R1.fq.gz	ERR2784728_R1.fq.gz	0.094892	0	73147/1000000
ERR2784800_R1.fq.gz	ERR2784728_R1.fq.gz	0.0916736	0	78664/1000000
ERR2784801_R1.fq.gz	ERR2784728_R1.fq.gz	0.0934634	0	75543/1000000
ERR2784802_R1.fq.gz	ERR2784728_R1.fq.gz	0.0958642	0	71563/1000000
ERR2784803_R1.fq.gz	ERR2784728_R1.fq.gz	0.0968819	0	69944/1000000
ERR2784804_R1.fq.gz	ERR2784728_R1.fq.gz	0.119651	0	42237/1000000
ERR2784805_R1.fq.gz	ERR2784728_R1.fq.gz	0.122507	0	39681/1000000
ERR2784806_R1.fq.gz	ERR2784728_R1.fq.gz	0.157575	0	18615/1000000
ERR2784807_R1.fq.gz	ERR2784728_R1.fq.gz	0.162987	0	16582/1000000
ERR2784808_R1.fq.gz	ERR2784728_R1.fq.gz	0.0800581	0	102625/1000000
ERR2784809_R1.fq.gz	ERR2784728_R1.fq.gz	0.0801403	0	102430/1000000
ERR2784810_R1.fq.gz	ERR2784728_R1.fq.gz	0.0805208	0	101532/1000000
